"time","u100","v100","t2m","sp","speed","horizon","is_origin"
2015-01-05 03:00:00,5.86649477715328,-5.80983755839416,273.891432627737,101398.442259124,8.36659480777149,3,0
2015-01-05 06:00:00,3.92373850940876,-6.78848494306569,273.583237810219,101425.082065693,7.98463173336664,6,0
2015-01-05 09:00:00,2.94884437248175,-6.79364542229927,273.435466423358,101563.679967153,7.44751338405095,9,0
2015-01-05 12:00:00,2.19496486605839,-5.5593387099927,274.866881167883,101655.935175182,6.13279494780222,12,0
2015-01-05 15:00:00,1.14268704043723,-4.33560106354015,273.57342109489,101758.399408759,4.94761300245358,15,0
2015-01-05 18:00:00,-0.542005721507299,-2.12135855224453,272.897924744526,101843.04930292,4.27968475435306,18,0
2015-01-05 21:00:00,-1.36181810012679,0.386261597189781,272.80092120438,101887.192328467,4.11800475130399,21,0
2015-01-06 00:00:00,-1.83124052237956,2.25654347824818,272.844275620438,101947.969948905,4.20566639868743,24,1
2015-01-06 03:00:00,-3.53084568613139,2.91635509639781,272.478906642336,102071.976091241,5.20963294780796,3,0
2015-01-06 06:00:00,-3.28782525474453,5.28016359726277,272.671052445255,102058.920821168,6.3651197817812,6,0
2015-01-06 09:00:00,-2.40513332729927,7.00227900291971,273.624266350365,102101.060463504,7.44102364877844,9,0
2015-01-06 12:00:00,-1.62580685819708,8.12417946277372,274.754264890511,101995.10510219,8.33281220572644,12,0
2015-01-06 15:00:00,-1.34348663395036,8.74372090364963,274.236471423358,101920.663963504,8.96821872579136,15,0
2015-01-06 18:00:00,-2.35346306857299,10.0864683587591,274.096243649635,101790.14690146,10.4573394597741,18,0
2015-01-06 21:00:00,-2.00541609543066,11.5523949525547,273.872760328467,101637.684164234,11.7920128786707,21,0
2015-01-07 00:00:00,-0.744344841138686,12.1039582445255,273.727730182482,101489.202189781,12.164617408124,24,1
2015-01-07 03:00:00,0.649798051737226,11.6306411642336,273.76750810219,101276.053131387,11.6880517036866,3,0
2015-01-07 06:00:00,2.75985270205839,9.72423981861314,274.090847116788,101165.906208029,10.3832761759475,6,0
2015-01-07 09:00:00,4.24639490551095,7.12655431637956,274.809003759124,101139.178718978,9.52205482133231,9,0
2015-01-07 12:00:00,6.19994279927007,4.63988763876131,275.926431605839,101110.630748175,9.11074674608953,12,0
2015-01-07 15:00:00,6.84621239051095,3.08797661565693,276.287039963504,101127.818277372,7.9618651767661,15,0
2015-01-07 18:00:00,7.36011738686131,3.50979487364963,276.303816167883,101166.471740876,8.25521955287145,18,0
2015-01-07 21:00:00,6.84506129708029,4.93709043540146,276.281192518248,101103.319080292,8.75116094640252,21,0
2015-01-08 00:00:00,6.73469891313869,7.84214937846715,276.866910693431,100964.48840146,10.4355707548258,24,1
2015-01-08 03:00:00,7.42495299489051,10.4500106149635,276.934665437956,100720.487748175,12.8855447229829,3,0
2015-01-08 06:00:00,8.76517037883212,11.1052975967153,276.402616642336,100474.636645985,14.1931005569697,6,0
2015-01-08 09:00:00,9.95317461934306,9.9089144770073,276.555933978102,100316.195989051,14.0552394795208,9,0
2015-01-08 12:00:00,9.95689422554745,7.06878493248175,277.506513759124,100194.520828467,12.2409015971091,12,0
2015-01-08 15:00:00,9.16225507554745,4.68824640182482,278.175645693431,100115.637777372,10.3321471981163,15,0
2015-01-08 18:00:00,9.51773564635037,3.19059105145985,278.285315693431,100057.010540146,10.1581367279439,18,0
2015-01-08 21:00:00,10.814597669708,0.80934923509489,277.858850948905,99988.1730109489,10.9020833100313,21,0
2015-01-09 00:00:00,12.3189687262774,-0.195710073908759,277.257170839416,99953.0376642336,12.3455553895575,24,1
2015-01-09 03:00:00,13.2608318850365,1.12036532104599,276.489302518248,99785.145649635,13.3511290618015,3,0
2015-01-09 06:00:00,12.0131619430657,3.13682400730803,276.288817481752,99623.5517664233,12.7623635499312,6,0
2015-01-09 09:00:00,7.11329219744526,8.06178333321168,275.592204160584,98987.8006350365,11.9826909729269,9,0
2015-01-09 12:00:00,9.10823036370803,4.2766521570073,276.166100182482,98320.391419708,12.6746844321493,12,0
2015-01-09 15:00:00,10.6426341540876,0.0511280715145986,276.502728686131,98218.3287080292,11.3973260759558,15,0
2015-01-09 18:00:00,10.7765286506423,-0.0455883239620438,276.915638467153,98155.5536386861,11.1564765210352,18,0
2015-01-09 21:00:00,5.89764716623577,-5.49254702080292,276.655441824818,98381.6909890511,9.50047376265702,21,0
2015-01-10 00:00:00,4.17529365394161,-5.15649791824818,275.963013759124,98836.4054525547,7.48674892450202,24,1
2015-01-10 03:00:00,4.12393411364963,-2.97308638149635,275.876535474453,98899.3992481752,5.67851569960008,3,0
2015-01-10 06:00:00,2.4625786990146,2.36298103740876,275.243867445255,98754.4294416058,4.24675751341315,6,0
2015-01-10 09:00:00,1.27042041666423,8.27971813029197,275.834580218978,98222.3631751825,9.16432650760663,9,0
2015-01-10 12:00:00,8.66623648060657,9.61827088649635,278.025407408759,97438.9679890511,15.3527332950397,12,0
2015-01-10 15:00:00,18.2647253729927,2.86333414098248,278.998745656934,97046.0708613139,18.9245445721701,15,0
2015-01-10 18:00:00,20.0064809762774,0.967379302890511,277.160347810219,97248.0243868613,20.0539514916119,18,0
2015-01-10 21:00:00,22.0807878029197,2.06251392018613,277.140570218978,97348.2054306569,22.2994775376466,21,0
2015-01-11 00:00:00,23.5747246131387,1.23240538863796,277.071562080292,97479.9948540146,23.6354896216659,24,1
2015-01-11 03:00:00,21.4858004890511,0.216329621783212,276.793412810219,97618.2062737226,21.5145744151969,3,0
